"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9731","10537","","6449","3807","843","","","","2718","2023","2029","3779","3105","4102","4628","5376","6952","8263",
"American Samoa","ASM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203","","257","25","","62","","","",
"Australia","AUS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","24653","","32417","36670","18435","12017","","","","","","7160","15799","28182","25412","19271","14511","9345","8656","12488","17077","19042","22514","24803","41741","37225","39559","37164","37900","36303","","","8347","5679","","","","","","","17865","15723","","","","","3169","5119","7676","",
"Austria","AUT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8780","","","","","","","","","","","575","2379","6109","6583","5280","4190","4754","4647","5132","4149","4020","4632","2802","1822","985","521","186","","","","",
"Azerbaijan","AZE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11600","10477","14909","46304","24923","9526","39833","44900","17522","31351","41033","42625","52165","43360","45478","44302","34881","34147","31015","31744","26499","20869","8359","","","","3367","12040","21341","27105",
"Burundi","BDI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","253787","","","","","266579","","269007","266974","265282","254591","247334","240899","238882","227991","223072","","","","","270428","","","","","","","379435","337296","346749","326012","308408","288199","172748","123886","52720","56630","22811","","","","","","","23181","44430","55313","",
"Belgium","BEL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","15363","","8580","6271","9903","10193","20181","21920","22787","17518","11608","6853","","","7219","12757","7103","9591","9818","8279","","","","2296","","1097","4707","9624","11020","10091","6391","4197","4870","5554","4954","4281","4458","5247","4338","3382","1098","1278","1819","",
"Benin","BEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","222597","227773","238281","","255703","262661","296299","","290085","285448","284325","281208","276360","266790","","","","","","","","","142666","","114582","","","","","","","","","","","88277","90707",
"Burkina Faso","BFA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","393490","399425","","","","","442517","452711","462512","469949","475804","481336","488702","499721","507583","513775","524553","540386","556506","","579038","592707","603560","613006","618482","","","633806","644300","649066","654131","676953","673131","668033","636175","611605","568163","509508","483694","544728","492485","487194","481710","479159","468549","390999","381641","353506","377174","421950",
"Bangladesh","BGD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3012322","","","2449992","","","","2426840","2524281","","","2579663","","3012611","2872564","3040693","3148406","3279336","2390162","2419283","2167110","","","","","","","","","","","","","","","","","","239896","","","","","","","","","","","","",
"Bulgaria","BGR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15242","11983","8082","5467","5986","5600","6262","5322","4110","5531","4163","","","","","","3047","5547","7251","10662","14626","16813","19315","21250","",
"Bahrain","BHR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","5982","5319","5033","5119","4639","5239","5468","5768","5392","4786","4802","5249","4501","3466","2111","1027","1012","557","328","","","610","370","315","22","","","","","","856","1261","1660","1977","3064","2025","","","","","3127","2987","2570","1667","555","254","","1155","1654","",
"Bahamas, The","BHS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1939","1791","","","","","","1667","","","","","1910","1681","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43582","","","","","","","","","","","","","","","","","","2692","4717","2580","1999","","4346","","",
"Belize","BLZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166","744","1298","","1093","696","1056","829","907","873","682","372","671","","279","","","","","","","",
"Bermuda","BMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","716","775","","","","","343","301","","","","","","","","","","","","","","","","","","","","","","","","","","65","200","","","","","","","","",
"Bolivia","BOL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13792","33511","51045","73193","79376","81220","78221","70191","59300","47429","36817","",
"Brazil","BRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95884","","410387","100734","","","40566","","","","","",
"Barbados","BRB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","2736","2406","2034","","","282","","","","","742","1061","1004","","","","","","27","411","","1334","","","","","","","","298","354","788","790","840","872","586","213","102","227","166","458","","","641","396","151","432","248","","318",
"Brunei Darussalam","BRN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","1444","1447","2791","2932","3421","3755","3650","3603","","3215","","","","","1860","1414","794","850","336","","","","","","","","","","","","","","","","","","","","","","","","","297",
"Bhutan","BTN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","26574","26722","","","","","","","","","","","","","","","","","","","26967","26600","24949","23411","","","","15987","13395","","9538","6873","5449","4698","3493","3766","","4030","4324","4437","3332","","966",
"Botswana","BWA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","29011","32259","32214","32065","29816","25132","22334","19720","20098","19611","16215","12147","","8288","8138","6431","6799","6563","6293","6309","6382","3579","5074","6317","6671","20746","20471","","16955","18778","17481","15646","15879","15685","16658","13688","13160","15454","17574","19173","","","15889","16398","16996","","","","","","",
"Central African Republic","CAF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","89209","88715","87410","","","","97640","100542","","","100715","101873","105894","","","97877","119301","125793","128637","116383","127417","","","","","","","","","","","","","","191659","195876","179703","155453","159802","154280","162133","153356","","","","","","","","",
"Canada","CAN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","42952","47635","54304","54512","50305","50516","50656","55016","42881","20913","23836","47095","58382","68163","57977","","10482","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219444","124189","136548","136109","124991","124554","126967","124099","126200","119854","100308","93250","89522","79881","81353","77233","85490","94487","101530","112861","122070","123036","116506","",
"Switzerland","CHE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","68114","65864","","","58828","56934","55295","54383","53047","50809","46863","42291","37913","34248","32728","33234","35149","37549","25830","21281","","","","","","","","789","","","","","727","674","223","50","","","","","","","","",
"Channel Islands","CHI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27605","24250","33244","22012","26358","26979","29934","29876","28819","24200","18830","11999","6549","",
"China","CHN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","5644462","","3576938","","2947348","3318657","3877516","4769183","5804367","6687434","7254031","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","323179","","","","","","","","","","","","","","","","","","","622093","631301","","646839","684776","645821","675121","713357","","","","","","821798","","","","620627","577381","518393","330089","289354","197509","166688","142545",
"Cameroon","CMR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","218021","225321","242102","255584","231021","228075","241626","243076","243803","249715","","","","","","","","281750","","311832","340266","","","","","","","","","","","","","","","","","","","","276427","","","","","176603","210143","","262532","",
"Congo, Dem. Rep.","COD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","731748","768819","","","764101","","","","814435","","","","812444","805814","","","","1129397","","","1311240","1392313","1472123","1527593","1473282","","","","2405236","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","26335","","20661","","16348","","10952","10570","20642","22712","22113","21312","20664","","","","","","","","","","","","","","","","","","","","","119170","134265","","","","49400","","23491","","","","","","67734","","",
"Colombia","COL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","575648","","","","","450690","","","","","","","","62143","67260","180420","165836","","56840","","","","","18281","51099","58574","98453","","","64430","76662","41597","32871","5760","",
"Comoros","COM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","9795","","","","","","","14168","","","","","19185","16865","","","","","","","11732","","","","","","7970","8261","","","9185","11145","","",
"Cabo Verde","CPV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","2813","3256","4094","2160","1511","1139","694","","","","","","","","","","","","","","899","1066","1290","1616","1271","791","1063","1365","1726","1937","2452","2288","2340","2348","2269","2505","2406","2238","2522","",
"Costa Rica","CRI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","24582","","21093","19254","","16019","12122","","14262","16469","16358","15867","18813","","","25919","24855","25536","","26764","27305","26734","","","","","","","","","","","","","","","","","","","","","","767","4940","4147","2970","6898","","","",
"Caribbean small states","CSS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","26043","26273","24956","23953","21964","30035","35907","26807","25451","25536","31036","28684","24141","21002","21784","22514","22898","18779","19479","14086","22151","32382","34033","37278","36081","34393","33488","32340","28007","27717","24384","26937","30769","32122","25372","29724","30485","32523","29778","31418","28212","26944","","","","","","","","","",
"Cuba","CUB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","44589","40287","36146","","","","","","25101","38137","45025","44711","48230","56509","50630","39769","39130","36470","35347","36763","26013","22951","13063","13958","7274","9035","8383","5036","4244","","","7324","9618","12626","15072","14660","14582","7600","4931","5982","8010","8098","17890","21934","19937","15874","8272","3304","",
"Curacao","CUW","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","485",
"Cayman Islands","CYM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","107","228","","320","398","299","175","222","","","191","206","253","","","","","273","","202",
"Cyprus","CYP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","7788","8085","7980","8190","10244","10940","11027","10567","10068","10113","9116","10047","10169","10187","9954","8518","7308","7058","7229","7572","7733","8670","715","1003","1217","1296","1138","","","511","588","294","226","277","","","","","","","","349","410","478","332","423","320","229","","",
"Czech Republic","CZE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1933","815","2005","1209","","","","","1393","",
"Germany","DEU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71322","55613","45392","33913","31512","25261","39978","44339","35532","36126","45040","48415","41954","21244","2469","","","4294","",
"Djibouti","DJI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","27350","28513","30715","32838","34628","35666","","36538","37650","38009","38653","40365","42483","","44801","44444","42620","41595","","39524","38600","36929","33170","24336","23047","","16202","","15875","12505","14802","16101","15192","15144","13985","15408",
"Dominica","DMA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","502","426","","744","949","779","779","","","","","","","","","","","","","","","","","","","240","228","319","435","535","533","773","702","286","","","","","","","","","","98","23",
"Denmark","DNK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","9772","7881","3970","2261","2004","2739","1960","1592","3718","3781","2853","4380","5103","2270","2491","3122","","","","","","","","2330","2952","2056","674","1005","1404","2104","1835","1071","577","860","94","","","519","961","",
"Dominican Republic","DOM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74663","68103","","46384","68161","79097","71930","75368","44256","65810","","42798","34746","41041","40239","49582","28587","26180","29807","31319","20009","20340",
"Algeria","DZA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","582530","552460","531203","510766","491441","479981","483753","477769","483418","499170","518503","513207","513823","496400","477061","461462","443549","436104","399297","372141","375754","367840","356793","356938","360209","","270586","245098","195238","161062","144165","123499","112526","103832","92229","62151","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","11542100","7970107","6792985","5670173","5547427","5566747","5936279","6566207","7515173","8807298","9631157","10301035","8157837","5568137","5145000","4517876","4213085","4127305","4263466","4294309","4756621","3644765","3597502","3237432","2905178","2491703","2734098","2770466","2837994","2914509","3103070","2959552","2979366","3123923","",
"Early-demographic dividend","EAR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","40586432","41908328","41241240","39764132","40822356","39720752","39439680","38675776","40576672","41061756","40241220","39334344","38212156","37641880","37080792","37500232","36959636","38418640","37222700","35450120","36292032","36337484","36781764","36058848","34913824","35610204","34550728","34774528","34892816","33496474","30836702","29389968","28332956","22493684","20163804","17973324","16663300","13580204","12338089","12066586","11169028","10661908","10490683","9635111","11599541","12084784","11916377","11726865","12223649","11657163","",
"East Asia & Pacific","EAS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","19355788","15111266","11613177","8006388","6814039","5687371","5572290","5613912","6004528","6640169","7576173","8880029","9710812","10410029","8285382","5704101","5275885","4649576","4348737","4246354","4379298","4379644","4837567","3721239","3669959","3310212","2973557","2573188","2833513","2887810","2949518","2990473","3193902","3067973","3076328","3203703","",
"Europe & Central Asia (excluding high income)","ECA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","714181","891475","939729","1031983","980323","1048565","940983","819175","839415","720390","557151","466845","421686","554881","571899","521426","413076","445288","377143","369787","383792","334064","357441","327540","335062","328591","344459","351590","",
"Europe & Central Asia","ECS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","2068314","2083442","2059731","1959127","1954094","1901334","1827358","1827755","1983115","1943416","1973500","1719129","1715794","1554513","1466308","1316892","1367068","1326488","1234016","1283238","1397246","1445864","1495540","1379652","1385510","1062171","982600","1011371","889686","814692","754255","737835","797067","800228","751719","625396","668776","584263","554373","551209","480265","528681","469530","461623","471381","502752","513874","",
"Ecuador","ECU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","104133","","108680","105317","109510","109850","95661","87482","72260","82140","","","","","","","","","","","","","","58190","54793","45160","25641","20865","22310","19040","6289","","","","11188","6355","","35869","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","1266100","1290590","1329260","","","","","1391874","","","","","","","","","","","","","","","","754701","","","659235","","647306","557079","499182","442636","393683","339797","","","","","","","","34210","","","","","","","","",
"Euro area","EMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","484476","489250","477100","496435","458967","448923","421631","429328","352017","309045","295253","301416","331915","380106","389983","379883","303901","268805","252098","239910","256513","266953","307362","295583","320538","267952","195240","172757","60566","98983","101978","104115","176066","181869","181276","109852","104481","85957","102336","105527","105515","84218","82579","90803","121112","98459","78392","92810","107062","106524","",
"Eritrea","ERI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115918","","117643","118796","117843","117467","","105110","92072","86806","71918","57129","46556","36840","32053","39915","46972","55380","64524","64243","64577","78569","87020","98115","","122508","124564","","",
"Spain","ESP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","84018","60898","49450","","","","","18355","13991","","","","","","","","","20223","9411","11621","","2417","","","","","","","","","","","","","","","","","","","","","","","","8845","31428","40830","37080","",
"Estonia","EST","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9043","6499","","","","","","","","323","546","654","","","","","","","566","856","927","1009","946","886","936","",
"Ethiopia","ETH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","2563803","2645201","2757744","","","","","3742921","3815895","3795928","","3681167","3623855","3481518","3322628","3280205","3331557","3233906","2646228","2404305","2121961","1793533","1828099","2023872","1793161","1697298","","1313512","1394680","","","","","1424020",
"European Union","EUU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","689330","690665","677400","731834","711940","717420","696880","721133","669207","652128","626964","664819","664839","720674","732317","758702","688101","628780","615896","637109","673208","707530","746888","665164","606347","538721","462434","379778","171744","228768","232919","223848","293782","303450","318323","244819","237633","236311","221040","232575","216933","197248","187697","179286","212144","193221","192393","221741","244133","249453","",
"Fragile and conflict affected situations","FCS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","14448863","14485806","14886877","14974266","15012698","14776802","14433877","13794308","13345932","12795665","12707421","12745271","13058810","13764633","14561606","15307899","15850553","16703202","17422444","17149180","17724418","18070150","18445340","19201076","20625840","20780180","20986880","21027364","20636318","20298668","19796432","19320468","18883092","18323546","17708780","17226632","17129320","17142604","17319320","16657970","16444560","16528126","16788744","17623300","17815016","18160994","17846784","18530340","",
"Finland","FIN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2480","2485","3132","2521","2269","1227","","","","833","2292","4210","4582","5205","3956","3444","3040","2531","2169","1295","1219","437","1074","1186","1900","2086","2820","",
"Fiji","FJI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1818","","1568","2269","3797","3561","2912","2946","2795","1031","","18","","","","","","293","","","","33","","598","","","","","",
"France","FRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","45850","45890","","","","","113547","","18266","7067","","45421","83209","","93083","44284","","","","","","14815","41328","43495","21606","","187","","59589","64747","65122","65361","69571","67803","","","","8927","16082","25808","1185","249","6008","23727","8912","523","","","","",
"Faroe Islands","FRO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","624","992","767","","","792","1114",
"Gabon","GAB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8145","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","49786","78201","104981","116187","113797","105345","95229","90258","83833","49174","49210","67598","101073","111461","127901","94145","35262","2727","","","32663","67827","","","","","","","","","","2324","","10892","","2236","41528","22984","40019","34458","35245","31808","8407","","","9850","13380","19278","30146","",
"Georgia","GEO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14299","1431","","","","","","","","","","","","1239","3566","","2382","2086","","1445","","2369","","","","116",
"Ghana","GHA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615057","501598","586280","531871","546508","","495623","453927","375416","282802","279786","","143078","","","","","","33801","69192","8783","110013",
"Gibraltar","GIB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","445","484","","508","461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","339313","343910","357944","375287","384553","397340","412371","416466","","","","","","","432812","429499","416957","402905","366781","350533","334664","324384","311432","301297","316704","313173","306176","269899","280701","272119","245629","","283090","","","","221655",
"Gambia, The","GMB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","30416","31345","32127","33122","33959","34705","33733","32930","33097","32563","30396","29676","28938","28329","28181","29198","","","","","","44670","44160","","","42988","","45001","37495","41532","42236","46423","41977","41276","44008","38669","36674","42196","","43864","44991","40820","42296","42828","33606","31082","27476","25341","18319","13922",
"Guinea-Bissau","GNB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","40734","39269","","42627","43921","","50200","52794","","","","","","","","","","","","59060","","","","","","","","","","34371","","","","","","","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12162","","","","","","14599","11777","13209","13697","","","","","29625","31484","33189","33818","34362","","","40811","","","","","",
"Greece","GRC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","35369","32337","26621","19186","16895","15079","17309","20723","26144","34921","27030","26727","22809","23254","24090","28335","39115","35476","37810","39541","39631","44831","50810","50556","38540","39507","34337","8754","6112","2299","6936","8496","9531","13240","16237","17337","16624","","","12672","11869","9630","8879","10887","8100","5398","3773","3856","1901","",
"Grenada","GRD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","1843","","","","","197","","","479","768","1012","994","764","","","","","","","","","","","","","","","","","","","","","182","","","","","","","","","","","","","","","",
"Greenland","GRL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","261893","263501","266688","","273224","275657","","","287841","","","283586","305458","295625","","","","","","","","","","","","","","287433","","182725","161092","175089","144303","","101262","85342","68606","56736","57001","","","47044","82762","110081","132424","135842","142679","130208","117083","118734","114414",
"Guam","GUM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","8340","7533","","5478","","8081","5231","","7291","","","7002","","","","","","","","","4703","5960","6639","","5681","6338","","","","","","","4372","","","","","1181","4405","2547","","","","","","","","","","",
"High income","HIC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3412922","3416100","3426666","3294818","3429623","3290309","3040677","2990668","2876648","2821964","2014016","2065450","1946146","2157938","2295388","2243152","2004687","1742207","1618697","1540217","1460722","1532719","1741631","1806383","1820353","1700358","1716082","1845610","1217934","1167250","1200857","1200437","1285597","1217286","1109925","815046","691181","651654","601838","636223","564434","626199","635604","752164","608492","521626","360174","419386","448482","466663","",
